"age","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","age_group"
3,522,462,384,351,315,348,309,255,267,285,312,309,"Age 0-04"
4,810,738,687,582,540,483,405,420,399,417,420,447,"Age 0-04"
5,1026,948,831,744,648,564,582,516,507,498,537,534,"Age 05-12"
6,1134,1026,921,801,690,714,627,597,576,564,606,582,"Age 05-12"
7,1203,1089,960,843,834,747,687,624,600,600,639,621,"Age 05-12"
8,1287,1125,993,999,858,780,705,648,636,654,663,651,"Age 05-12"
9,1323,1167,1122,969,891,786,717,687,684,678,678,732,"Age 05-12"
10,1344,1266,1062,993,873,789,750,711,702,675,753,711,"Age 05-12"
11,1404,1182,1080,945,855,795,783,750,681,732,741,645,"Age 05-12"
12,1284,1173,1023,933,867,843,783,708,747,741,663,684,"Age 05-12"
13,1278,1137,987,915,873,840,753,762,735,648,714,642,"Age 13-17"
14,1227,1041,966,903,870,786,774,741,648,675,651,645,"Age 13-17"
15,1104,1014,948,921,801,795,756,660,675,639,666,654,"Age 13-17"
16,1071,990,927,831,801,768,678,660,645,645,669,549,"Age 13-17"
17,1014,957,825,798,780,678,663,609,618,621,552,555,"Age 13-17"
18,978,813,777,750,678,645,588,585,600,504,540,516,"Age 18-24"
19,801,747,723,654,609,570,564,570,477,480,504,459,"Age 18-24"
20,741,711,642,585,555,543,564,465,462,453,447,432,"Age 18-24"
21,738,639,567,561,540,558,468,450,465,402,423,405,"Age 18-24"
22,642,567,561,528,549,465,453,450,405,402,384,381,"Age 18-24"
23,567,555,525,546,459,453,453,402,396,360,375,333,"Age 18-24"
24,555,534,549,465,465,453,405,393,372,360,321,306,"Age 18-24"
25,546,549,471,462,444,405,396,366,357,327,303,279,"Age 25-44"
26,552,474,465,444,408,402,363,357,327,297,276,273,"Age 25-44"
27,483,465,453,408,393,366,363,333,297,273,279,309,"Age 25-44"
28,468,465,417,405,372,357,336,291,276,276,303,273,"Age 25-44"
29,477,423,405,372,357,336,294,279,264,300,279,261,"Age 25-44"
30,438,417,387,363,339,294,282,267,303,267,264,243,"Age 25-44"
31,429,393,372,345,306,285,279,312,270,255,252,246,"Age 25-44"
32,399,378,357,312,291,279,309,267,252,243,255,252,"Age 25-44"
33,390,357,324,288,282,309,261,264,243,252,243,237,"Age 25-44"
34,369,330,303,288,306,273,270,249,249,243,246,252,"Age 25-44"
35,339,309,288,312,270,276,270,255,249,240,261,255,"Age 25-44"
36,321,297,318,279,285,270,264,252,237,267,270,297,"Age 25-44"
37,303,321,279,285,276,273,258,234,267,270,318,330,"Age 25-44"
38,336,285,294,288,282,261,246,267,279,324,339,330,"Age 25-44"
39,297,297,297,291,273,246,276,288,327,333,330,354,"Age 25-44"
40,312,294,300,279,249,282,294,336,336,318,348,339,"Age 25-44"
41,303,303,288,255,294,300,348,342,336,345,351,324,"Age 25-44"
42,312,300,273,297,306,357,348,336,354,348,336,360,"Age 25-44"
43,309,276,297,318,360,357,360,369,351,333,372,360,"Age 25-44"
