"row","pop_group","age_group","indicator_category","indicator","value","n","sum","Year","row_index"
1,"DSS in Given Year","03-18","Demographics","Regional Council","6",495,"NULL",2021,NA
2,"DSS in Given Year","03-18","Demographics","Regional Council","9",1701,"NULL",2021,NA
3,"DSS in Given Year","03-18","Demographics","Regional Council","12",138,"NULL",2021,NA
4,"DSS in Given Year","19-44","Demographics","Regional Council","2",3555,"NULL",2021,NA
5,"DSS in Given Year","19-44","Demographics","Regional Council","5",96,"NULL",2021,NA
6,"DSS in Given Year","19-44","Demographics","Regional Council","8",732,"NULL",2021,NA
7,"DSS in Given Year","45-64","Demographics","Regional Council","15",258,"NULL",2021,NA
8,"DSS in Given Year","45-64","Demographics","Regional Council","18",105,"NULL",2021,NA
9,"DSS in Given Year","65+","Demographics","Regional Council","2",753,"NULL",2021,NA
10,"DSS in Given Year","65+","Demographics","Regional Council","5",33,"NULL",2021,NA
11,"DSS in Given Year","65+","Demographics","Regional Council","8",312,"NULL",2021,NA
12,"DSS in past","03-18","Demographics","Regional Council","13",600,"NULL",2021,NA
13,"DSS in past","03-18","Demographics","Regional Council","16",117,"NULL",2021,NA
14,"DSS in past","19-44","Demographics","Regional Council","2",3390,"NULL",2021,NA
15,"DSS in past","19-44","Demographics","Regional Council","5",153,"NULL",2021,NA
16,"DSS in past","19-44","Demographics","Regional Council","8",573,"NULL",2021,NA
17,"DSS in past","45-64","Demographics","Regional Council","2",1998,"NULL",2021,NA
18,"DSS in past","45-64","Demographics","Regional Council","5",105,"NULL",2021,NA
19,"DSS in past","45-64","Demographics","Regional Council","8",396,"NULL",2021,NA
20,"DSS in past","65+","Demographics","Regional Council","9",429,"NULL",2021,NA
21,"DSS in past","65+","Demographics","Regional Council","12",51,"NULL",2021,NA
22,"DSS in past","65+","Demographics","Regional Council","15",168,"NULL",2021,NA
23,"DSS in past","65+","Demographics","Regional Council","18",75,"NULL",2021,NA
24,"Non-DSS disabled","03-18","Demographics","Regional Council","16",84,"NULL",2021,NA
25,"Non-DSS disabled","19-44","Demographics","Regional Council","5",330,"NULL",2021,NA
26,"Non-DSS disabled","19-44","Demographics","Regional Council","8",1878,"NULL",2021,NA
27,"Non-DSS disabled","19-44","Demographics","Regional Council","14",1542,"NULL",2021,NA
28,"Non-DSS disabled","45-64","Demographics","Regional Council","9",4353,"NULL",2021,NA
29,"Non-DSS disabled","45-64","Demographics","Regional Council","12",525,"NULL",2021,NA
30,"Non-DSS disabled","45-64","Demographics","Regional Council","15",1104,"NULL",2021,NA
31,"Non-DSS disabled","45-64","Demographics","Regional Council","18",489,"NULL",2021,NA
32,"Non-DSS disabled","65+","Demographics","Regional Council","12",870,"NULL",2021,NA
33,"Non-DSS disabled","65+","Demographics","Regional Council","15",2148,"NULL",2021,NA
34,"Non-DSS disabled","65+","Demographics","Regional Council","18",1110,"NULL",2021,NA
35,"Rest of pop","03-18","Demographics","Regional Council","13",116967,"NULL",2021,NA
36,"Rest of pop","03-18","Demographics","Regional Council","16",10527,"NULL",2021,NA
37,"Rest of pop","19-44","Demographics","Regional Council","NULL",8565,"NULL",2021,NA
38,"Rest of pop","19-44","Demographics","Regional Council","2",640011,"NULL",2021,NA
39,"Rest of pop","19-44","Demographics","Regional Council","5",15585,"NULL",2021,NA
40,"Rest of pop","19-44","Demographics","Regional Council","8",76599,"NULL",2021,NA
41,"Rest of pop","45-64","Demographics","Regional Council","5",11733,"NULL",2021,NA
42,"Rest of pop","45-64","Demographics","Regional Council","8",58953,"NULL",2021,NA
43,"Rest of pop","65+","Demographics","Regional Council","9",70269,"NULL",2021,NA
44,"Rest of pop","65+","Demographics","Regional Council","12",6021,"NULL",2021,NA
45,"Rest of pop","65+","Demographics","Regional Council","15",15063,"NULL",2021,NA
46,"Rest of pop","65+","Demographics","Regional Council","18",10002,"NULL",2021,NA
47,"Rest of pop","65+","Demographics","Regional Council","99",72,"NULL",2021,NA
48,"DSS in Given Year","03-18","Demographics","Urban/rural","Small urban area",1980,"NULL",2021,NA
49,"DSS in Given Year","45-64","Demographics","Urban/rural","Medium urban area",1173,"NULL",2021,NA
50,"DSS in past","03-18","Demographics","Urban/rural","Major urban area",3978,"NULL",2021,NA
51,"DSS in past","65+","Demographics","Urban/rural","Rural other",378,"NULL",2021,NA
52,"Non-DSS disabled","03-18","Demographics","Urban/rural","Major urban area",5025,"NULL",2021,NA
53,"Non-DSS disabled","19-44","Demographics","Urban/rural","Rural other",3132,"NULL",2021,NA
54,"Non-DSS disabled","45-64","Demographics","Urban/rural","Oceanic",0,"NULL",2021,NA
55,"Non-DSS disabled","65+","Demographics","Urban/rural","Medium urban area",10443,"NULL",2021,NA
56,"Rest of pop","03-18","Demographics","Urban/rural","Major urban area",489840,"NULL",2021,NA
57,"Rest of pop","19-44","Demographics","Urban/rural","Rural other",175449,"NULL",2021,NA
58,"Rest of pop","65+","Demographics","Urban/rural","Medium urban area",80016,"NULL",2021,NA
59,"Rest of pop","65+","Demographics","Urban/rural","Rural other",92859,"NULL",2021,NA
60,"DSS in Given Year","19-44","Need","WGSS - Communication","2",3291,"NULL",2021,NA
61,"DSS in Given Year","19-44","Need","WGSS - Communication","5",2349,"NULL",2021,NA
62,"DSS in Given Year","65+","Need","WGSS - Communication","2",792,"NULL",2021,NA
63,"DSS in Given Year","65+","Need","WGSS - Communication","5",630,"NULL",2021,NA
64,"DSS in past","19-44","Need","WGSS - Communication","2",1881,"NULL",2021,NA
65,"DSS in past","19-44","Need","WGSS - Communication","5",3711,"NULL",2021,NA
66,"DSS in past","45-64","Need","WGSS - Communication","2",1104,"NULL",2021,NA
67,"DSS in past","45-64","Need","WGSS - Communication","5",2130,"NULL",2021,NA
68,"Non-DSS disabled","19-44","Need","WGSS - Communication","5",303,"NULL",2021,NA
69,"Rest of pop","19-44","Need","WGSS - Communication","2",29667,"NULL",2021,NA
70,"Rest of pop","19-44","Need","WGSS - Communication","5",592806,"NULL",2021,NA
71,"Rest of pop","45-64","Need","WGSS - Communication","5",250932,"NULL",2021,NA
72,"DSS in Given Year","19-44","Need","WGSS - Walking","2",2040,"NULL",2021,NA
73,"DSS in Given Year","19-44","Need","WGSS - Walking","5",2349,"NULL",2021,NA
74,"DSS in Given Year","65+","Need","WGSS - Walking","2",1023,"NULL",2021,NA
75,"DSS in Given Year","65+","Need","WGSS - Walking","5",639,"NULL",2021,NA
76,"DSS in past","19-44","Need","WGSS - Walking","2",1212,"NULL",2021,NA
77,"DSS in past","19-44","Need","WGSS - Walking","5",3723,"NULL",2021,NA
78,"DSS in past","45-64","Need","WGSS - Walking","2",1917,"NULL",2021,NA
79,"DSS in past","45-64","Need","WGSS - Walking","5",2154,"NULL",2021,NA
80,"Non-DSS disabled","19-44","Need","WGSS - Walking","5",387,"NULL",2021,NA
81,"Rest of pop","19-44","Need","WGSS - Walking","2",32361,"NULL",2021,NA
82,"Rest of pop","19-44","Need","WGSS - Walking","5",595701,"NULL",2021,NA
83,"Rest of pop","45-64","Need","WGSS - Walking","5",253962,"NULL",2021,NA
84,"DSS in Given Year","19-44","Need","WGSS - Seeing","2",2139,"NULL",2021,NA
85,"DSS in Given Year","19-44","Need","WGSS - Seeing","5",2364,"NULL",2021,NA
86,"DSS in Given Year","65+","Need","WGSS - Seeing","2",1191,"NULL",2021,NA
87,"DSS in Given Year","65+","Need","WGSS - Seeing","5",663,"NULL",2021,NA
88,"DSS in past","19-44","Need","WGSS - Seeing","2",1494,"NULL",2021,NA
89,"DSS in past","19-44","Need","WGSS - Seeing","5",3714,"NULL",2021,NA
90,"DSS in past","45-64","Need","WGSS - Seeing","2",2139,"NULL",2021,NA
91,"DSS in past","45-64","Need","WGSS - Seeing","5",2154,"NULL",2021,NA
92,"Non-DSS disabled","19-44","Need","WGSS - Seeing","5",276,"NULL",2021,NA
93,"Rest of pop","19-44","Need","WGSS - Seeing","2",111897,"NULL",2021,NA
94,"Rest of pop","19-44","Need","WGSS - Seeing","5",593517,"NULL",2021,NA
95,"Rest of pop","45-64","Need","WGSS - Seeing","5",251418,"NULL",2021,NA
96,"DSS in Given Year","19-44","Need","WGSS - Hearing","2",1302,"NULL",2021,NA
97,"DSS in Given Year","19-44","Need","WGSS - Hearing","5",2349,"NULL",2021,NA
98,"DSS in Given Year","65+","Need","WGSS - Hearing","2",840,"NULL",2021,NA
99,"DSS in Given Year","65+","Need","WGSS - Hearing","5",666,"NULL",2021,NA
100,"DSS in past","19-44","Need","WGSS - Hearing","2",846,"NULL",2021,NA
101,"DSS in past","19-44","Need","WGSS - Hearing","5",3735,"NULL",2021,NA
102,"DSS in past","45-64","Need","WGSS - Hearing","2",1143,"NULL",2021,NA
103,"DSS in past","45-64","Need","WGSS - Hearing","5",2172,"NULL",2021,NA
104,"Non-DSS disabled","19-44","Need","WGSS - Hearing","5",453,"NULL",2021,NA
105,"Rest of pop","19-44","Need","WGSS - Hearing","2",45303,"NULL",2021,NA
106,"Rest of pop","19-44","Need","WGSS - Hearing","5",597153,"NULL",2021,NA
107,"Rest of pop","45-64","Need","WGSS - Hearing","5",255078,"NULL",2021,NA
108,"DSS in Given Year","19-44","Need","WGSS - Remembering","2",3852,"NULL",2021,NA
109,"DSS in Given Year","19-44","Need","WGSS - Remembering","5",2379,"NULL",2021,NA
110,"DSS in Given Year","65+","Need","WGSS - Remembering","2",1290,"NULL",2021,NA
111,"DSS in Given Year","65+","Need","WGSS - Remembering","5",660,"NULL",2021,NA
112,"DSS in past","19-44","Need","WGSS - Remembering","2",2865,"NULL",2021,NA
113,"DSS in past","19-44","Need","WGSS - Remembering","5",3741,"NULL",2021,NA
114,"DSS in past","45-64","Need","WGSS - Remembering","2",2175,"NULL",2021,NA
115,"DSS in past","45-64","Need","WGSS - Remembering","5",2151,"NULL",2021,NA
116,"Non-DSS disabled","19-44","Need","WGSS - Remembering","5",333,"NULL",2021,NA
117,"Rest of pop","19-44","Need","WGSS - Remembering","2",119154,"NULL",2021,NA
118,"Rest of pop","19-44","Need","WGSS - Remembering","5",595317,"NULL",2021,NA
119,"Rest of pop","45-64","Need","WGSS - Remembering","5",253386,"NULL",2021,NA
120,"DSS in Given Year","19-44","Need","WGSS - Washing","2",2307,"NULL",2021,NA
121,"DSS in Given Year","19-44","Need","WGSS - Washing","5",2328,"NULL",2021,NA
122,"DSS in Given Year","65+","Need","WGSS - Washing","2",1005,"NULL",2021,NA
123,"DSS in Given Year","65+","Need","WGSS - Washing","5",645,"NULL",2021,NA
124,"DSS in past","19-44","Need","WGSS - Washing","2",735,"NULL",2021,NA
125,"DSS in past","19-44","Need","WGSS - Washing","5",3717,"NULL",2021,NA
126,"DSS in past","45-64","Need","WGSS - Washing","2",1368,"NULL",2021,NA
127,"DSS in past","45-64","Need","WGSS - Washing","5",2151,"NULL",2021,NA
128,"Non-DSS disabled","19-44","Need","WGSS - Washing","5",360,"NULL",2021,NA
129,"Rest of pop","19-44","Need","WGSS - Washing","2",6684,"NULL",2021,NA
130,"Rest of pop","19-44","Need","WGSS - Washing","5",594777,"NULL",2021,NA
131,"Rest of pop","45-64","Need","WGSS - Washing","5",252951,"NULL",2021,NA
132,"DSS in Given Year","19-44","Need","Stroke","2",27,"NULL",2021,NA
133,"DSS in Given Year","65+","Need","Stroke","2",18,"NULL",2021,NA
134,"DSS in past","19-44","Need","Stroke","2",21,"NULL",2021,NA
135,"DSS in past","45-64","Need","Stroke","2",72,"NULL",2021,NA
136,"Rest of pop","19-44","Need","Stroke","2",297,"NULL",2021,NA
137,"DSS in Given Year","03-18","Socio-economic background","NZDep","6",1569,"NULL",2021,NA
